,loss
0,13.387788860400295
1,8.280558306872342
2,7.2942430915489815
3,7.006399880494381
4,6.786280483158032
5,6.5634277144019215
6,6.390888259760253
7,6.298829045742834
8,6.214826022420687
9,6.161475518123278
10,6.108217572175271
11,6.068735181047032
12,6.009396834563566
13,5.971968959249318
14,5.912680479062534
15,5.861270181387077
16,5.808627017089184
17,5.780951679991176
18,5.750868629298138
19,5.727428660775623
20,5.2582400027354055
21,5.170687447687623
22,5.128922823887722
23,5.124312956621693
24,5.133743899643042
25,5.235191020236653
26,5.22276197269464
27,5.223561772874966
28,5.207864348296147
29,5.1853002666667765
30,5.2661464654715955
31,5.272736535710134
32,5.254738144054534
33,5.234127784230907
34,5.253128596931506
35,5.34043869091447
36,5.329713666514986
37,5.321373523420589
38,5.316119736167276
39,5.317133857945728
40,5.4479554276557485
41,5.439243732743962
42,5.412517110253595
43,5.412210002826278
44,5.42304389340103
45,5.590126760446342
46,5.568719945895444
47,5.599180923146047
48,5.581618193608181
49,5.57379787590853
50,5.604668134337018
51,5.600173837819677
52,5.590427371347026
53,5.564652676794939
54,5.549143408514132
55,5.574647748546236
56,5.537868785250718
57,5.507672719894701
58,5.460656557872796
59,5.413654321318219
60,5.540577867228514
61,5.531907361024504
62,5.478457162334661
63,5.480250631927684
64,5.478975961162786
