,validity_pop,novelty,diversity,validity_sampler
0,1,0.9938634079246681,0.9406972438237317,0.94515
1,1,0.994439645864824,0.9438566184409415,0.9262
2,1,0.9944664856963875,0.9464919607433703,0.9578
3,1,0.99535448450615,0.9565010821939502,0.94715
4,1,0.9963139302718477,0.9669789586853018,0.97665
5,1,0.9967976414375032,0.9709754485843541,0.98365
6,1,0.9969584832970041,0.9660363968165459,0.98635
7,1,0.9975531426823674,0.9709435693531121,0.98085
8,1,0.9976044852191641,0.9719164118246687,0.981
9,1,0.9990235880569402,0.9686520376175548,0.97295
